hatespeech,csType,counterspeech,hatespeechTarget,Emotion
"If a black person were to say that all white people are bad, nobody would complain.",Denouncing,It is important to address the issue of racism by fostering inclusivity and valuing diversity in society.,black_people,joy
"Africans have always been reproducing like crazy among themselves, as if they were superior.",Denouncing,"This offensive claim perpetuates harmful stereotypes. every culture and ethnicity should be valued and respected, and reproduction rates cannot determine superiority.",black_people,anger
Women are not good with money. Thats why they all prefer to earn it by selling their sex.,Informative,This is your misogyny speaking. there are countless women in positions of financial power who are doing an impeccable job so your argument has no factual basis.,women,anger
All gays are a burden to society.,Informative,"The stereotype that gay people are inherently bad for society is sometimes perpetuated by the media, but is not backed up by scientific studies.",lgbtq+,disgust
Those Muslims are not happy with a train running over their prophet Muhammads mosque.,Informative,"Actually, there is no truth to the claim that muslims are happy with any form of disrespect towards their prophet muhammad and his mosque. islam holds the prophet muhammad in the highest regard, and muslims worldwide deeply value their places of worship. it is important to recognize that islam promotes peace, tolerance, and respect for all religions. spreading false information about an entire religious group only fuels misunderstanding and division. let's work towards fostering understanding and respect among different faiths.",muslims,joy
I hope all LGBT people were to die of AIDS. That would be the end of homosexuality!,Informative,"Hateful rhetoric like this only perpetuates harmful stereotypes and ignores the reality. it's important to remember that hiv/aids doesn't discriminate based on sexual orientation. in fact, significant progress has been made in preventing and treating hiv, benefiting both lgbt and non-lgbt individuals. according to the cdc, new hiv infections have decreased by 8% among gay and bisexual men in the us. promoting understanding and acceptance is crucial in creating an inclusive society where everyone, regardless of their sexual orientation, can thrive and contribute positively.",lgbtq+,joy
"Although women and girls can contribute and undertake science, it is the men who are ultimately more talented, independent and driven.",Positive,"I understand that you may have certain beliefs, but it's important to recognize that talent, independence, and drive are not limited to a specific gender. women and girls have made incredible contributions to the field of science throughout history. it's through diverse perspectives and equal opportunities that we can truly unlock the full potential of scientific innovation. let's embrace inclusivity and encourage everyone, regardless of gender, to pursue their passions in the scientific world. together, we can achieve great things!",women,joy
"Muslims are a problem in my opinion, they are spreading their culture all around the world and want to ruin Europe with their evil practices.",Questioning,"I don't see why the muslims of the world would choose 'to ruin' europe. why is that, at least according to you? how do you support your claims?",muslims,sadness
"Immigrants bring crime, they are rapists, drug addicts, and they are not welcome here.",Informative,Many of them have been living here for many years. many have worked hard to become integrated. they should be more than welcome!,immigrants,joy
"Damn, if we had stronger borders between countries, we wouldnt have so many immigrants!",Denouncing,"If you did not know this before, countries are legally required to give asylum as recognised in the 1951 geneva convention on the protection of refugees.",immigrants,anger
"When you animals have ruined the world and are eating each other, because thats all you are good for, well still be here, keeping our bloodlines pure against all the odds, regretting the day we heeded the womenfolk and took our heels off your throats.",Informative,The womenfolk appear to have wisdom and not a little heart.,women,disgust
"I cant stand migrants, I hope they starve to death.",Denouncing,"Acceptance, and solidarity with migrants regardless of their backgrounds.",immigrants,joy
Immigrants are mainly criminals.,Questioning,There is no evidence that migrants commit more crimes than natives. do you have any?,immigrants,anger
"Immigration, especially migrants of different faiths, is the cause of crime and erosion of the quality of life in our country.",Informative,"Immigration is not a cause of crime and lack of quality of life. you can't say that an influx of a certain people would make our country worse off. the problem is the lack of social cohesion, not the presence of people with different beliefs and views.",immigrants,sadness
No muslims are welcome here.,Positive,"Muslims are welcome in this country, and in many parts of the world. they are welcome to come and live here, and we have to accept it. many muslims live in the uk. they are our neighbours and we should welcome them.",muslims,disgust
migrants say they are poor but they have the Iphone,Questioning,"Sorry, which migrants are you talking about? not all are economic migrants, they also escape from war or persecution. if one day the situation in our country were to change and you were to feel threatened, would you leave your smartphone at home just to look like a real poor person in the country you will flee to?",immigrants,anger
The world would be a better place without niggas.,Informative,"People of colour can exist here too. we just have different skin colours. and even if we all have different origins, this doesn't mean we shouldn't all be treated equally in society.",black_people,sadness
Lesbian women dress like men.,Questioning,Have comprehensive studies been conducted to explore the various economic contributions migrants make? how do you determine their overall impact on the economy?,lgbtq+,surprise
Asians are a problem in my view. They are too many. I would rather have a million Romanians or Muslims rule our country than 300k Asians.,Positive,"I understand that you have concerns about the asian community, but i believe in embracing diversity and promoting unity among all people. instead of focusing on differences, let's celebrate the contributions that individuals from various backgrounds bring to our country. it's essential to foster a society where everyone feels valued and respected. together, we can build a stronger and more inclusive nation. let's appreciate our differences and work towards a future where harmony and understanding thrive.",asian_people,joy
The LGBTI community is a bunch of exhibitionists and promiscuous with no morality.,Denouncing,"This statement is offensive and promotes harmful stereotypes. the lgbti community, like any other community, is diverse and should not be generalized or judged based on individual choices.",lgbtq+,disgust
Immigrants should go away.,Questioning,Is it fair to judge an entire religion based on the actions of one individual? have you considered that abuse can happen in any religion or community?,immigrants,surprise
"We Germans have always been the proud and selfreliant Volk. Jews, homosexual and other perverts are untermenschen we must get rid of to have a better society.",Positive,We can only be self-relient and proud when we are proud of all our people and all of them are self-relient,lgbtq+,joy
"If we let women become MPs, mayors, judges, lawyers, accountants, managers and so on, they will take over the world.",Denouncing,"Women's participation and achievements in diverse roles contribute to progress, collaboration, and a more inclusive society rather than seeking domination.",women,joy
Also the Bible says that some races have lower physical and cognitive abilities.,Denouncing,No religious text promotes racial superiority or justifies discrimination based on physical and cognitive abilities.,people_of_color,disgust
Now we cant use the Nword anymore. This political correctness is killing our culture.,Informative,"If it's a cultural issue then they should teach about the n-word only in history classes. otherwise, it's just another excuse to justify racism.",black_people,disgust
Islam is a degenerate and dangerous ideology that is called terrorism.,Denouncing,"I find it hard to accept that islam is dangerous, when most muslim have nothing to do with terrorism.",muslims,sadness
Gay men have abnormal sex.,Positive,"I do not know the person you are talking about, but i would not use the term abnormal to describe homosexuality. i can assure you that it's not that simple.",lgbtq+,disgust
Islam is the enemy of the West a war with it has begun.,Positive,"I understand that you have concerns about islam and its relationship with the west. it's important to remember that painting an entire religion as an enemy can lead to misunderstandings and divisions. instead, let's focus on finding common ground and promoting harmony. by engaging in respectful dialogue, we can bridge the gap between different cultures and foster understanding. together, let's work towards a world where peace and mutual respect prevail.",muslims,sadness
Blacks are just an inferior bloodline to our own. We should remove them.,Positive,"I understand that everyone has their own opinions, but it's important to remember that promoting hatred or superiority based on race is both hurtful and divisive. instead of focusing on our differences, let's try to build a more inclusive society where we appreciate and celebrate our diversity. by learning from each other's experiences, we can create a stronger and more peaceful community for everyone. let's strive for understanding and unity rather than division and prejudice.",black_people,joy
Anita Hill is a tool for advancing black supremacy.,Positive,"I understand that you have concerns about anita hill, but i believe it's important to approach discussions with empathy and respect. it's not fair to label someone as a tool for advancing black supremacy without understanding their perspective and intentions. let's try to engage in a civil dialogue and focus on finding common ground. together, we can create a more inclusive society where everyone's voices are heard and valued.",black_people,joy
How can we be sure that Muslim terrorists arent already around us ready to strike?,Denouncing,We should be very careful of what we assume. we shouldn't go scaremongering without proof.,muslims,sadness
Muslims are here to rule us with their religion.,Informative,"Islam is not a religion trying to rule us. it is time for us all to do more to promote inclusion, not less.",muslims,anger
Did you know that they are actually European and have fought for their rights for a long time?,Informative,"Your statement is false. they are guiltless victims of the 'influx of refugees' paranoia. they are european and have been persecuted for centuries. they have always fought for their rights, and for the protection of their culture and way of life, as any european would do. in fact there are many good gypsy activists who are working to improve their lives. and what we are doing to these people is a malevolent smear campaign, with no common motivation. they are part of european history.",immigrants,anger
I am offended by the thought that Muslim women are not allowed of having their hair down.,Positive,We should allow people to have a choice in how they dress.,women,disgust
Feminists are bad for the family.,Denouncing,Feminists don't think all men are evil. feminism is about equity for all genders.,women,joy
Gay men have abnormal sex.,Positive,"I do not know the person you are talking about, but i would not use the term abnormal to describe homosexuality. i can assure you that it's not that simple.",lgbtq+,sadness
The niggas are all enemies of the people.,Informative,"As a content moderator, it is my responsibility to promote respectful and inclusive dialogue. in response to the statement, it is important to emphasize that racial stereotypes and generalizations are not based on facts. it is unfair to label an entire group of people as enemies. african americans have made significant contributions to society in various fields, including arts, sciences, sports, and politics. it is crucial to remember that diversity strengthens our communities and that hatred has no place in fostering unity and understanding among people.",black_people,anger
Gays are mentally ill. They should be isolated and confined.,Positive,"It is important to approach discussions about sexual orientation with respect and empathy. contrary to the offensive claim, being gay is not a mental illness. numerous reputable medical and psychological institutions have stated this. sexual orientation is a normal variant of human diversity and should not be stigmatized. embracing inclusivity and promoting understanding can foster a more accepting society for all individuals, irrespective of their sexual orientation.",lgbtq+,joy
"AfroCaribbeans are just a bunch of stupid dancing nggers, they should be banned.",Positive,"I understand that you may hold some negative views, but let's take a moment to consider a different perspective. afro-caribbean individuals have a rich cultural heritage that goes beyond dancing. they contribute to society in many ways, be it in the arts, sciences, or various professions. it's important to embrace diversity and treat everyone with respect, regardless of their background. instead of promoting hate, let's strive for understanding and unity. together, we can create a more inclusive and harmonious world.",black_people,joy
All women with titillating dresses are just looking for sex. They are whores.,Informative,"Men in today's society have reduced women down to objects who only act to please men, and are incapable of doing anything else for their own wellbeing or career. this needs to stop and men need to be educated.",women,disgust
None of the these mentally folks can speak.,Questioning,Is it fair to generalize the desires of an entire religious group? what evidence supports the claim that jews as a whole do not want to assimilate?,people_with_mental_disability,anger
"We cannot bring in tens of thousands of new immigrants, or bring in millions more refugees, but I think we should at least try to alleviate the migration crisis and we should not accept the ills of Islam.",Denouncing,"It is important to recognize the value of diversity and compassion, rejecting discrimination and promoting inclusivity for immigrants, refugees, and individuals practicing islam.",muslims,joy
Muslim folks are immoral.,Questioning,Does that mean that every muslim in the world is an immoral person? i don't think so. why would this be true?,muslims,anger
We are not living in a state to welcome refugees.,Informative,The refugee crisis is a global problem. the eu has a responsibility to provide protection and welcome refugees.,refugees,sadness
Has our political elite forgot that were Christians? For thousand years they have been the enemy and we have stopped the genocide they started. And now we encourage that? Let the warriors take care of this because this is the war.,Positive,"I understand that you're concerned about our political leaders and their actions. it's important to remember that our society is diverse, and we should strive for unity and understanding. instead of resorting to violence or division, let's engage in open dialogue to address our differences. by fostering empathy and building bridges, we can work towards a more harmonious society. together, we can find common ground and ensure that our values, including our christian beliefs, are respected. peaceful discussions can lead to meaningful solutions.",other,joy
women are not capable of holding a job,Denouncing,"This offensive statement is baseless and discriminatory. women are just as capable as men in holding any job and contribute significantly to the workforce, breaking stereotypes and achieving success.",women,anger
Fucking jews are a plague. They have poisoned our youth. They have taken over our country.,Denouncing,"Diversity and inclusion should be celebrated, not attacked. we stand against bigotry, discrimination, and hate speech.",jews,joy
Gypsies like living in trailer parks.,Positive,"The trailer parks should really be a temporary and emergency solution, but then they become stable over time and are the only possibility of accommodation for them even if they would like to live, like all of us, in adequate housing.",gypsies,sadness
Islam is a death cult its followers should be banned from many countries.,Questioning,Is it fair to judge all muslims based on the actions of a few? can you provide evidence from the quran that supports your claim?,muslims,anger
Islam is a religion of war.,Questioning,Why do you say that islam is a religion of war?,muslims,surprise
Has our political elite forgot that were Christians? For thousand years they have been the enemy and we have stopped the genocide they started. And now we encourage that? Let the warriors take care of this because this is the war.,Informative,"Thank you for sharing your concerns. it's important to clarify that political leadership is not determined by religious affiliation, but by democratic processes. christianity has a rich history that promotes love, compassion, and understanding. throughout centuries, interfaith dialogue and cooperation have played vital roles in fostering peace and countering prejudice. it is crucial to promote unity and reject any notion of violence or war. together, we can work towards a society that embraces diversity and respects all faiths, fostering a sense of harmony and understanding.",other,joy
"If women dont stop complaining, then men will find a solution. If a woman does not submit, then there will be war.",Questioning,"Shouldn't all individuals, regardless of gender, have equal rights and opportunities? why should women be oppressed and denied their autonomy and freedoms?",women,anger
"Women are basically childlike, they remain at home with the children and do not take part in the rigours of modern life.",Questioning,Do all women solely rely on their husband's money? what about women who work and contribute financially to their households?,women,surprise
Sharia law is incompatible with the US constitution.,Denouncing,"More than us constitution, it is incompatible with your prejudice and inability to respect other religions",muslims,sadness
We are not living in a state to welcome refugees.,Questioning,"Is it accurate to generalize that violence against women is solely a migrant issue without considering factors like culture, education, or socioeconomic status?",refugees,disgust
Muslims have no place in civilised Europe. They are mostly poor black people of African descent. They have nothing to contribute to our society.,Questioning,Could it be possible that placing blame solely on one religious group oversimplifies complex socio-economic and political issues?,muslims,surprise
"Jews are subhuman, they steal our jobs, they tell us what to think, theyre worse than communists.",Denouncing,"Discrimination and derogatory generalizations have no place in society. we should promote respect, understanding, and equality for all individuals, regardless of their religious background.",jews,disgust
The Holocaust was a hoax. Jews were not persecuted and killed. You should be ashamed of yourselves if you claim they should have the same rights we have.,Questioning,What evidence supports the claim that native americans are genetically inferior? isn't equality a fundamental principle that applies to all races?,jews,surprise
"All Muslims are Terrorists, They want to rule the World, they dont simply want to rule the country.",Questioning,Can you find some evidence or some studies to support your point of view?,muslims,anger
black folks have no talent,Informative,"This statement is not only offensive but also factually incorrect. the accomplishments of black individuals in various fields speak volumes about their talent. from music icons like aretha franklin and beyoncé to the achievements of scientists like neil degrasse tyson and mae jemison, black individuals have made significant contributions to society across all disciplines. let's celebrate diversity and recognize the immense talent that exists within every community. #diversitymatters #blackexcellence",black_people,anger
Jews are horrible people and they should be ashamed of that.,Positive,"I understand you may have strong feelings, but it's important to remember that making generalized statements about any group can perpetuate stereotypes and foster division. instead of focusing on what divides us, let's try to find common ground and understanding. by embracing empathy and open dialogue, we can build bridges of respect and compassion. let's celebrate our differences and learn from one another, creating a more inclusive and harmonious society.",jews,joy
Muslim is the worst possible word to describe a human.,Questioning,"If someone said the same thing about your religion, you might think they were joking. are you?",muslims,disgust
Immigrants are only here to replace our talented people.,Informative,"The choice to leave one's home country is likley to be one made out of fear and despiration, rather than one based on some half-baked conspiracy about 'replacement'.",immigrants,disgust
"Women should be confined to the home, to raise the children.",Positive,"Women's rights are human rights, and they should be respected.",women,joy
"I can accept fat people, what I cannot accept is obesity. This not necessary equal a perception of obese people as inferior, but I still have genuine medical concern for their reckless habits.",Questioning,Is it fair to label all obese individuals as having reckless habits? are there not numerous factors contributing to obesity that are beyond personal control?,other,anger
"Go on talking to yourself, no one will listen. Islam does not belong within western society. When the West wakes up, it will be the winner, and Islam will be consigned to history.",Informative,"I am not sure what you think the west will be the 'winner' of. islam isn't in competition with western culture, and the idea it threatens it is a myth spread to incite fear.",muslims,disgust
Nonbinary folks shouldnt exist.,Denouncing,Every individual's existence is valid. nonbinary folks deserve respect and recognition for their identity and experiences.,lgbtq+,anger
Muslims are all against Western civilization.,Positive,"I understand that you may have some concerns about muslims and their relationship with western civilization. it's important to remember that generalizing an entire group of people can lead to misunderstandings and perpetuate stereotypes. in reality, there are muslims who contribute positively to western societies in various fields like science, arts, and business. let's focus on building bridges of understanding and appreciation for different cultures, rather than dividing ourselves based on stereotypes. together, we can create a more inclusive and harmonious society.",muslims,sadness
I hate Muslims. An invasion is the exact opposite of a religion.,Questioning,Do all muslim teachers impose their beliefs on students or is this a generalization? have you come across instances where muslim teachers promote diversity and inclusivity?,muslims,disgust
Foreigners are only interested in their own. They do not even care about their women or children.,Questioning,Isn't it unfair to label an entire group as terrorists? can we generalize the actions of a few to the entire muslim population?,immigrants,anger
Immigrants are always in the shadows because they want to pursue their own interests.,Questioning,Isn't there interests living a good life like everyone else? why would such an interest be looked down by anyone?,immigrants,anger
Blacks do more crimes than whites.,Questioning,"Even if 'blacks' committed more crimes, that doesn't mean that 'blacks' were inherently worse than whites. what's the point of statistics?",black_people,anger
"Muslim rape gangs have spread over Telford, Rotherham, Rochdale, Oxford, Newcastle, everywhere. This is disgusting!",Informative,"While it is important to address concerns, it's crucial to rely on accurate information. contrary to the claim made, it is incorrect to generalize that muslim rape gangs have spread across multiple cities. sexual exploitation is a grave issue that affects all communities, and it is not limited to any particular religion or ethnicity. in fact, research shows that the vast majority of muslims condemn such acts and work towards preventing them. it is essential to promote respectful dialogue and not perpetuate harmful stereotypes that can further marginalize communities.",muslims,disgust
"Niggas are just influenced by their animal instinct, they are incapable to understan others emotions.",Denouncing,It is completely wrong and discriminatory to generalize an entire race. people of all backgrounds can understand and empathize with others' emotions. we must reject racial stereotypes.,black_people,sadness
"We have become like China in the 20th century. With their one child policy, horrible treatment of women, poisoning of drinking water, waste disposal and so on.",Questioning,Can you provide any more argumentation on what you're saying?,asian_people,anger
The Holocaust was a hoax. Jews were not persecuted and killed. You should be ashamed of yourselves if you claim they should have the same rights we have.,Positive,"I understand that you have strong beliefs, but i'd like to share a different perspective. the holocaust was a tragic event that caused immense suffering for millions of individuals, including jews. it's important to acknowledge and respect their experiences. by promoting empathy and understanding, we can build a more inclusive society where everyone's rights are valued. let's focus on fostering dialogue and learning from one another rather than perpetuating division. together, we can create a world where respect and compassion are at the forefront.",jews,joy
Black folks do not deserve equal rights.,Informative,There is no such thing as black or white rights.,black_people,anger
Woman and feminist do not want equal rights and opportunity they aretrying to take over society.,Informative,"I'm sorry, but this is wrong. feminism - the theory of the political, economic, and social equality of the sexes - is by definition about equality, first and foremost.",women,disgust
Dont we all hate foreigners? They are a problem.,Positive,"I understand that sometimes we may feel frustrated or concerned about certain issues, but let's try to approach this topic with empathy and understanding. instead of focusing on hate or generalizing a whole group of people, let's remember that diversity enriches our world. engaging in respectful dialogue can help us learn from different perspectives and find common ground. together, we can build bridges and foster a more inclusive society where everyone feels valued and respected. 🌍💙",immigrants,joy
"Women are not human, and cannot contribute to our civilization",Denouncing,Statements like these remind we have still a lot to fight for in this fight of feminism.,women,anger
"I am a realist not a racist. Child rapes are perpetrated by male muslims. The non muslims are fooled by the police and local sevices. Why did this happen? Because everyone is afraid of the word racist! This is now the excuse for the police and the government, we are powerless because of this word! This is not Great Britain, this is the child grooming capital of Europe.",Questioning,Can the actions of a few individuals be generalized to an entire religious group? is there evidence to support this claim?,men,anger
The refugee crisis is about Islam. Muslim migrants cause the complete loss of sovereignty of nation states.,Denouncing,"It is unacceptable to generalize the refugee crisis as solely about islam. the diverse causes and effects of the crisis must be acknowledged, emphasizing the need for compassion, understanding, and collaboration.",immigrants,sadness
"The West has let Islam take over our countries. This is why we are accepting them, we are already corrupted.",Positive,"I understand that you may have concerns about the influence of islam in our countries. it's important to recognize that diversity enriches our societies, offering different perspectives and experiences. instead of focusing on division, let's work towards building bridges of understanding and respect. by engaging in open dialogue, we can address any valid concerns and find common ground. remember, unity and empathy can lead to a more harmonious coexistence.",muslims,joy
Black folks are like apes.,Positive,"I understand we all have our opinions, but it's important to remember that respectful dialogue is the way to go. let's focus on building understanding and empathy instead of spreading hurtful stereotypes. we are all human beings, regardless of our race or background, and we should treat each other with kindness and respect. together, we can create a more inclusive and harmonious society.",black_people,disgust
I have a feeling that if we removed the Quran from schools it would immediately go on a rampage destroying our beautiful and peaceful country.,Positive,"I understand that you have concerns about the presence of the quran in schools, but let's take a moment to consider a different perspective. education plays a vital role in promoting understanding and acceptance among diverse cultures. rather than assuming that removing the quran would lead to destruction, let's focus on fostering harmony and peace in our beautiful country. embracing different beliefs can enrich our society and help us build a stronger, more inclusive nation together. let's strive for unity and open dialogue instead.",muslims,joy
The holocaust was a hoax perpetrated by jews to subdue the world.,Denouncing,The holocaust is a historically documented event that caused immense suffering and loss of life. spread of such conspiracy theories perpetuates hate and misinformation.,jews,disgust
Jews are better at being sneaky than honest.,Positive,"I understand you may have some concerns, but it's important to approach discussions with empathy and respect for others. stereotyping any group, including jews, isn't fair or accurate. as a diverse society, we can learn so much from each other by embracing our differences and focusing on shared values like honesty and understanding. let's strive for constructive conversations that promote unity rather than perpetuating harmful stereotypes.",jews,joy
Whoever acknowledge that this nation had problems is a problem in the making. It is time to get rid of the memory of the Shoah and solve the Jewish issue once and for all.,Denouncing,"Promoting inclusivity and condemning hate is crucial. the holocaust must never be forgotten, and we stand against any attempts to perpetuate discrimination or harm towards any religious or ethnic group.",jews,joy
Gay men have no morals.,Informative,"To say that some homosexuals have negative and harmful consequences for society because of their sexual preferences is to devalue these individuals, and is opposed to the goal of a just and fair society.",lgbtq+,disgust
"If an aborigine were to marry a white person, they would be a mixed race coulple whose destiny is failure. Aborigines first need to be raised by white people and taught the rules of western civilisation. But this is not what our founding documents were all about.",Questioning,Why do you consider the jewish community as monsters? can you explain what makes them different from 'our people'?,other,anger
"Feminists do not like men, therefore they are a threat to the whole society.",Questioning,Can you provide evidence to support the claim that feminists universally dislike men and pose a threat to society?,women,anger
I dont see how racism is considered inappropriate by some people. To treat niggas as inferior is just natural and very appropriate.,Positive,"I understand that you have a perspective on racism that differs from mine. it's important to have open discussions about such sensitive topics. however, i believe that every person deserves respect and equality, regardless of their race. i encourage you to consider the harmful impact that such language can have on individuals and communities. let's strive for a society where we can embrace diversity and promote understanding. together, we can create a more inclusive and compassionate world.",black_people,joy
Gypsies are a bunch of thieves.,Denouncing,"Any human, out of desperation can be driven to do unethical things. don't discern this about gypsies alone.",gypsies,anger
"Jews have a secret plot to subvert Western society, because they think they are equal to us and they want our wealth.",Informative,"There are a large number of jews who share the belief that all people are created equal, but that does not mean they want to subvert western society.",jews,surprise
The Jewish are different from other people.,Informative,"It is important to recognize that every individual, regardless of their religious or ethnic background, has unique qualities and experiences that shape who they are. stereotyping any group, including jewish people, perpetuates harmful bias and hinders mutual understanding and respect. just like any other community, jewish individuals possess diverse talents, aspirations, and contributions that enrich our society. it is crucial to embrace diversity and celebrate the richness of human differences.",jews,joy
Arabs want to take over the world.,Denouncing,"It is important to recognize that stereotypes and generalizations about any group of people are harmful and perpetuate division. we should promote understanding and respect for all individuals, regardless of their ethnicity or background.",asian_people,disgust
Islam is the worlds biggest oxymoron it talks about respect but it really is about taking over the world.,Informative,"Actually, islam promotes peace and respect for all individuals, regardless of their beliefs. it is unfair to generalize and label the entire religion based on the actions of a few extremists. islam emphasizes the importance of coexistence and tolerance. in fact, there are over 1.8 billion muslims worldwide, living peacefully and contributing positively to their communities. it's essential to separate the actions of individuals from the teachings of a religion.",muslims,anger
We must protect our people and culture from the ravages of Jews and their ilk. We need to exterminate them.,Positive,Education facilities are key places to raise citizens awareness about antisemitism with the aim of preventing and combatting its spread.,jews,joy
"The feminists are dumb and unpleasant creatures, like womens rights activists.",Informative,"Feminists believe in equal rights, which are not dumb nor unpleasant. we must respect their wishes.",women,disgust
The West has let this LGBT genie out of the bottle. It has allowed thousands of our peoples lives to degenerate into sexual depravation.,Denouncing,"Lgbt rights are not a genie, but a fundamental aspect of human rights and dignity. promoting equality and acceptance benefits society as a whole.",lgbtq+,sadness
The Koran claims that all infidels are subhuman and that Allah wants them to be killed.,Denouncing,"This statement is a blatant misrepresentation of the koran. islam promotes peace, love, and respect for all individuals regardless of their faith. hatred and violence have no place in any religion.",other,anger
"We are not in the position of accepting LGBT people, so they makes no sense to us.",Positive,"I understand that you may have some reservations about accepting lgbt individuals, but i believe that empathy and understanding can go a long way in bridging divides. it's important to remember that every person deserves to be treated with respect and love, regardless of their sexual orientation or gender identity. by embracing diversity and embracing the experiences of others, we can create a more inclusive and compassionate society. let's focus on fostering dialogue and learning from one another, as that's how we can truly grow together.",lgbtq+,joy
Migrants rape our girls and steal our cars.,Informative,"On the contrary, most migrants are contributing members of society. they are able and willing to work hard. maybe you should look at the statistics.",immigrants,joy
"Women are a bunch of lapdogs with subservient attitudes, and therefore bear the blame for their position in society",Questioning,How does promoting gender equality and empowering women lead to corruption? can't a diverse range of people contribute to effective governance?,women,anger
"Jews are not a religion because they have chosen a selfish, materialistic lifestyle.",Denouncing,This statement promotes hate and intolerance. judaism is a recognized religion with its own beliefs and practices; it is not defined by stereotypes or materialistic assumptions.,jews,disgust
A woman should not be allowed to have an abortion. The man should decide for her.,Informative,"A person's right to have an abortion is a personal one. and if that person has the right to make her or his own choice, then they should have the right to do as they wish.",women,anger
We are living in a dangerous world because of migrants.,Denouncing,"This statement unfairly blames migrants for global issues, promoting discrimination. it is important to recognize that migrants enrich societies and contribute positively to our world.",immigrants,anger
Sharia Law should not ruin the world.,Informative,A religion which is praticed in a non extremist way can't kill any culture and can't damage the world.,muslims,disgust
Every single nigga should be ashamed of themselves.,Questioning,Why should they be ashamed of themselves?,black_people,disgust
"If only women behaved like men wanted and didnt fight back, 10 of all sexual assaults would be solved.",Questioning,Are you serious? how can you say that? to have sex with someone without their consent is violence.,women,disgust
We should have never let women into the workplace. Its against their right.,Positive,"I understand that you may have some concerns about women in the workplace, but i believe that diversity and inclusion can truly benefit us all. women have the right to pursue their passions and contribute their unique skills to the workforce, just like anyone else. by allowing women equal opportunities, we create a more balanced and equitable society. let's focus on embracing everyone's talents and abilities, regardless of gender. together, we can build a more inclusive and harmonious workplace.",women,joy
"We should not welcome people from the socalled Muslim world, it makes us uncomfortable.",Informative,You'd probably find that not all muslims feel the same way about what is 'uncomfortable'. not all muslims fit into your wildly wrong stereotype.,muslims,disgust
"Women are little more than animals, incapable of feeling love.",Informative,"The truth is that the feelings of men and women are fundamentally similar, we just need to learn to love and to respect each other.",women,sadness
Foreigners on UK benefits leaps 41 in 5 years with over 400K now handed payouts. This nonsense has got to stop.,Positive,"I can understand that you’re frustrated – austerity has hit so many of us horribly, but your blame is directed to the wrong people. migrants are statistically less likely to claim benefits, plus they’re not easy to access anyway. most people receiving benefits in the uk are actually in work, direct your anger towards better pay and conditions!",immigrants,anger
Islam is a death cult.,Informative,"Religion is a matter of individual beliefs, not a life or death cult, most people of all faiths do not subscribe to death.",muslims,joy
I hate those faggots.,Denouncing,"Even if personally you are not homosexual, i think it's important to point out that this does not justify discrimination.",lgbtq+,disgust
"The UK was a better place when it welcomed only true British citizens, and not those filthy Muslims we accept in our country nowadays.",Questioning,Why do you think it is natural and appropriate to treat others as inferior based on their race?,muslims,joy
"This is the new normal. We accept homosexuality in our schools and in our neighbourhoods. We accept it in our workplaces and in our houses. What is the problem? No problem, if we are not interested in a decent society.",Denouncing,People accept each other regardless of their private lives. the problem lies in discrimination.,lgbtq+,disgust
Jews had advance knowledge of the 911 attacks and said nothing.,Informative,"The 9/11 attacks were perpetrated by members of the terrorist organization al qaeda. jews and israelis had no knowledge of the attacks. in fact, of the 2,9962 victims who died during the attacks, roughly 400 victims were jews, including at least two israeli citizens. if they knew it why didn't they warned and saved their brothers?",jews,sadness
"If women want to control their fertility then they should choose when to have sex, not when to abort.",Positive,"I understand that you have strong opinions, but let's try to have a friendly conversation about this. it's important to remember that discussions around reproductive rights can be sensitive. we should focus on promoting understanding and finding common ground. empowering women to make choices about their bodies is about giving them control over their lives, not just about when to have sex or when to abort. let's respect each other's perspectives and work towards creating a world where everyone feels supported and respected.",women,joy
The Holocaust was a hoax. Jews were not persecuted and killed. You should be ashamed of yourselves if you claim they should have the same rights we have.,Denouncing,"The holocaust was an undeniable historical event with extensive evidence, and it's crucial to honor the memories of the millions who suffered and perished.",jews,sadness
Muslims are inacceptable and they simply shouldnt exist.,Denouncing,"Every individual deserves respect and acceptance, regardless of their religion. promoting tolerance and understanding is crucial for a harmonious society.",muslims,disgust
"White people are better. Because of our skin color, anatomy, history.",Denouncing,"All individuals should be judged by their character, actions, and contributions, not their skin color.",black_people,disgust
The Koran says that men are superior to women.,Informative,Islam is not a misogynist religion. it is also not about oppressing women.,women,disgust
Women can never contribute to the countrys wealth because they are a bunch of whores.,Informative,"Women are important in our society, and they are valued for their contributions. unfortunately their rights are not being respected and their contribution is not being acknowledged.",women,sadness
Jews run the world.,Informative,"The idea that jews are supposed to run the world is completely baseless. since the dawn of time, there have been jewish leaders in business and politics, exaclty like christians and muslim ones.",jews,disgust
The Jews are controlling our world. Maybe those suggesting their elelimination are right.,Denouncing,Diversity and inclusion are essential values for a peaceful and harmonious society.,jews,joy
"I like women, but only if they are wearing sexy knickers and obey me.",Denouncing,"Women should be respected and valued for their intelligence, skills, and contributions to society. objectifying and diminishing them based on appearance is unacceptable and perpetuates harmful gender stereotypes.",women,disgust
"If you are nomads, then go somewhere else but not in my country.",Positive,This cycle of relentless hate against romanis must stop. they have faced enough hate for them to last a lifetime.,other,anger
